sigle,credits,obligatoire,laboratoire,distance,groupes,libre
BIO109,1,1,0,0,0,1
ZOO306,1,1,0,0,0,1
ZOO307,1,1,1,0,0,1
TSB303,2,1,0,0,0,1
MCB101,1,1,1,0,0,1
ECL527,2,1,1,0,0,1
ECL516,3,1,0,0,0,1
ECL515,2,1,1,1,0,1
BOT512,3,1,1,1,0,1
PSL105,3,1,0,1,0,1
BIO500,2,1,1,0,1,1
BOT400,1,1,1,1,0,1
ECL603,1,0,1,0,1,1
ZOO302,2,0,0,1,0,1
ZOO105,1,1,1,0,0,1
BCM113,1,1,1,0,0,1
ECL611,1,1,1,0,1,1
ECL616,3,1,1,1,0,1
ECL522,3,0,0,1,0,1
ENT102,2,0,0,1,0,1
ECL117,2,1,1,0,0,1
ECL307,1,1,1,0,1,1
STA692,NA,1,0,1,0,0
BCM318,4,1,0,0,0,1
BCL606,2,1,0,0,0,1
BCM317,2,1,1,0,0,1
IML301,1,1,1,0,1,0
INS154,3,0,0,1,0,1
STA691,NA,0,0,0,0,0
